COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,Measure,Offset,EventType,FLComID
"0",2014-12-04,"03010205003466",,Medium,"0","0","USGS, Water Resources Division",,"02043600",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043600,57.84395,0.00000000000,StreamGage,"10475887"
"0",2014-12-04,"03010104000048",,Medium,"0","0","USGS, Water Resources Division",,"02075500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02075500,25.79635,0.00000000000,StreamGage,"8696811"
"0",2014-12-04,"03010102003204",,Medium,"0","0","USGS, Water Resources Division",,"02079000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02079000,85.85067,0.00000000000,StreamGage,"8653270"
"0",2014-12-04,"03010205007627",,Medium,"0","0","USGS, Water Resources Division",,"02043270",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043270,71.16120,0.00000000000,StreamGage,"10476657"
"0",2014-12-04,"03010202000157",,Medium,"0","0","USGS, Water Resources Division",,"02048500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02048500,95.39002,0.00000000000,StreamGage,"11585290"
"0",2014-12-04,"03010105000014",,Medium,"0","0","USGS, Water Resources Division",,"02077000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02077000,71.52088,0.00000000000,StreamGage,"8710783"
"0",2014-12-04,"03010202000024",,Medium,"0","0","USGS, Water Resources Division",,"02049500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02049500,6.93984,0.00000000000,StreamGage,"11585318"
"0",2014-12-04,"03010205007409",,Medium,"0","0","USGS, Water Resources Division",,"02043120",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043120,2.63885,0.00000000000,StreamGage,"10476435"
"0",2014-12-04,"03010205007679",,Medium,"0","0","USGS, Water Resources Division",,"02043190",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043190,87.63389,0.00000000000,StreamGage,"10476853"
"0",2014-12-04,"03010104000134",,Medium,"0","0","USGS, Water Resources Division",,"02075000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02075000,8.43730,0.00000000000,StreamGage,"8696395"
"0",2014-12-04,"03010204000035",,Medium,"0","0","USGS, Water Resources Division",,"02052000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02052000,55.69009,0.00000000000,StreamGage,"8742283"
"0",2014-12-04,"05050001000047",,Medium,"0","0","USGS, Water Resources Division",,"03168500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03168500,46.60012,0.00000000000,StreamGage,"6884142"
"0",2014-12-04,"05050001000906",,Medium,"0","0","USGS, Water Resources Division",,"03166800",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03166800,15.52724,0.00000000000,StreamGage,"6885562"
"0",2014-12-04,"05050002000371",,Medium,"0","0","USGS, Water Resources Division",,"03176400",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03176400,98.84036,0.00000000000,StreamGage,"6908579"
"0",2014-12-04,"05070202000906",,Medium,"0","0","USGS, Water Resources Division",,"032080352",http://waterdata.usgs.gov/nwis/nwisman/?site_no=032080352,51.55213,0.00000000000,StreamGage,"1088583"
"0",2014-12-04,"05050001000609",,Medium,"0","0","USGS, Water Resources Division",,"03170500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03170500,18.59049,0.00000000000,StreamGage,"6897832"
"0",2014-12-04,"05050001000067",,Medium,"0","0","USGS, Water Resources Division",,"03168000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03168000,64.76024,0.00000000000,StreamGage,"6887202"
"0",2014-12-04,"05050002000334",,Medium,"0","0","USGS, Water Resources Division",,"03171500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03171500,84.25169,0.00000000000,StreamGage,"6908749"
"0",2014-12-04,"05050002000091",,Medium,"0","0","USGS, Water Resources Division",,"03177700",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03177700,37.77785,0.00000000000,StreamGage,"6910341"
"0",2014-12-04,"05070202000906",,Medium,"0","0","USGS, Water Resources Division",,"03208036",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208036,1.40869,0.00000000000,StreamGage,"1088583"
"0",2014-12-04,"05070202000459",,Medium,"0","0","USGS, Water Resources Division",,"03208037",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208037,92.94780,0.00000000000,StreamGage,"1088527"
"0",2014-12-04,"05050001000137",,Medium,"0","0","USGS, Water Resources Division",,"03166000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03166000,96.55031,0.00000000000,StreamGage,"6885990"
"0",2014-12-04,"05070202000908",,Medium,"0","0","USGS, Water Resources Division",,"03208034",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208034,2.38231,0.00000000000,StreamGage,"1088515"
"0",2014-12-04,"05050002000562",,Medium,"0","0","USGS, Water Resources Division",,"03175140",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03175140,95.46065,0.00000000000,StreamGage,"6909733"
"0",2014-12-04,"05050001000074",,Medium,"0","0","USGS, Water Resources Division",,"03167000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03167000,37.11827,0.00000000000,StreamGage,"6885460"
"0",2014-12-04,"05050001000231",,Medium,"0","0","USGS, Water Resources Division",,"03163000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03163000,25.27126,0.00000000000,StreamGage,"6890408"
